Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Grant to Tower Hamlets Judo Club,GBP,1500,2015-01-05,Tower Hamlets Judo Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Tower Hamlets Badminton Academy,GBP,1500,2015-01-05,Tower Hamlets Badminton Academy,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Sycamore Trust,GBP,1480,2015-01-05,Sycamore Trust,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Step by Step London,GBP,1500,2015-01-05,Step by Step London,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Southall Self Defence Club,GBP,1500,2015-01-05,Southall Self Defence Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to South East London Tennis CIC,GBP,1305,2015-01-05,South East London Tennis CIC,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Newham College of Further Education,GBP,1500,2015-01-05,Newham College of Further Education,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Middle Eastern Women & Society Organisation,GBP,1500,2015-01-05,Middle Eastern Women & Society Organisation,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Kingston College,GBP,615,2015-01-05,Kingston College,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Holloway Neighbourhood Group,GBP,1500,2015-01-05,Holloway Neighbourhood Group,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Harrow Vultrix Korfball Club,GBP,1500,2015-01-05,Harrow Vultrix Korfball Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Friendship Society/A & V Rhythmic Club,GBP,1437.85,2015-01-05,Friendship Society/A & V Rhythmic Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to England Athletics,GBP,1030,2015-01-05,England Athletics,Greater London Authority,Communities and Intelligence,FreeSport
Grant to East London Dance,GBP,1500,2015-01-05,East London Dance,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Dynamic Sports Academy,GBP,950,2015-01-05,Dynamic Sports Academy,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Bede House Association,GBP,700,2015-01-05,Bede House Association,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Barking and Dagenham Somali Women's Association,GBP,1250,2015-01-05,Barking and Dagenham Somali Women's Association,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Barking and Dagenham Somali Women's Association,GBP,1250,2015-01-05,Barking and Dagenham Somali Women's Association,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Activiteens,GBP,1498.28,2015-01-05,Activiteens,Greater London Authority,Communities and Intelligence,FreeSport
Grant to South Grove Primary School,GBP,580,2015-01-06,South Grove Primary School,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Silverfit Ltd,GBP,1481.5,2015-01-06,Silverfit Ltd,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Newham All Star Sports Academy (NASSA),GBP,1500,2015-01-06,Newham All Star Sports Academy (NASSA),Greater London Authority,Communities and Intelligence,FreeSport
Grant to 2TR Football Ltd,GBP,1430,2015-01-06,2TR Football Ltd,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Slade Gardens Community Play Association,GBP,1500,2015-01-07,Slade Gardens Community Play Association,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Parkwood Community Leisure,GBP,814,2015-01-07,Parkwood Community Leisure,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Muslimah Sports Association,GBP,1500,2015-01-07,Muslimah Sports Association,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Enfield Town Shotokan Karate Club,GBP,1500,2015-01-07,Enfield Town Shotokan Karate Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Archery for All,GBP,400,2015-01-07,Archery for All,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Age UK Merton,GBP,1225,2015-01-07,Age UK Merton,Greater London Authority,Communities and Intelligence,FreeSport
Grant to A Mile in Her Shoes,GBP,550,2015-01-07,A Mile in Her Shoes,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Westminster Boating Base,GBP,1500,2015-01-08,Westminster Boating Base,Greater London Authority,Communities and Intelligence,FreeSport
Grant to TEAMWIRC,GBP,1500,2015-01-08,TEAMWIRC,Greater London Authority,Communities and Intelligence,FreeSport
Grant to London Sports Trust,GBP,1095,2015-01-08,London Sports Trust,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Highbury Korfball Club,GBP,1480,2015-01-08,Highbury Korfball Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Tottenham Community Sports Centre,GBP,1100,2015-01-09,Tottenham Community Sports Centre,Greater London Authority,Communities and Intelligence,FreeSport
Grant to The HIVE Croydon,GBP,1500,2015-01-09,The HIVE Croydon,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Mytime Active,GBP,1300,2015-01-09,Mytime Active,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Innovation Dance Studios Ltd,GBP,620,2015-01-09,Innovation Dance Studios Ltd,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Friends of Hillside Gardens Park,GBP,1330,2015-01-09,Friends of Hillside Gardens Park,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Folk in Motion CIC,GBP,1500,2015-01-09,Folk in Motion CIC,Greater London Authority,Communities and Intelligence,FreeSport
Grant to WISE Youth Trust,GBP,1500,2015-01-10,WISE Youth Trust,Greater London Authority,Communities and Intelligence,FreeSport
Grant to South London 6th Form Football League Limited,GBP,1350,2015-01-10,South London 6th Form Football League Limited,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Hackney Sparrows Wheelchair Basketball Club,GBP,1500,2015-01-10,Hackney Sparrows Wheelchair Basketball Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to England Athletics- Run! London Project,GBP,946.75,2015-01-10,England Athletics,Greater London Authority,Communities and Intelligence,FreeSport
Grant to De Silva Taekwon-Do Limited,GBP,1500,2015-01-10,De Silva Taekwon-Do Limited,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Apsara Arts,GBP,1500,2015-01-10,Apsara Arts,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Ali's Dojang,GBP,1010,2015-01-10,Ali's Dojang,Greater London Authority,Communities and Intelligence,FreeSport
