Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Grant to Southall Community Alliance,GBP,8300,2017-03-20,Southall Community Alliance,Greater London Authority,Communities and Intelligence,Team London small grants
Grant to St Mary's Secret Garden,GBP,9800,2017-03-21,St Mary's Secret Garden,Greater London Authority,Communities and Intelligence,Team London small grants
Grant to The Cara Trust,GBP,9175,2017-03-22,The Cara Trust,Greater London Authority,Communities and Intelligence,Team London small grants
Grant to Trees for Cities,GBP,53250,2017-03-23,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Sutton,GBP,50000,2017-03-23,LB Sutton,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Richmond upon Thames,GBP,50000,2017-03-23,LB Richmond upon Thames,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Lambeth,GBP,100000,2017-03-23,LB Lambeth,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Walworth Golden Oldies Community Care Project,GBP,7000,2017-03-24,Walworth Golden Oldies Community Care Project,Greater London Authority,Communities and Intelligence,Team London small grants
Grant to St Michael's Centre,GBP,15493,2017-03-26,St Michael's Centre,Greater London Authority,Housing and Land,NA
Grant to Nation Federation of Self-Employed and Small Businesses Limited.,GBP,22000,2017-03-27,Nation Federation of Self-Employed and Small Businesses Limited.,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Imperial Consultants,GBP,180857,2017-03-30,Imperial Consultants,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Brithish Fashion Council,GBP,2596000,2017-04-01,British Fashion Council,Greater London Authority,Communities and Intelligence,NA
Grant to Beam Up Ltd,GBP,55000,2017-04-03,Beam Up Ltd,Greater London Authority,Housing and Land,NA
Grant to Pathway,GBP,18374,2017-04-03,Pathway,Greater London Authority,Housing and Land,NA
Grant to Thames Reach,GBP,78063.84,2017-04-03,Thames Reach,Greater London Authority,Housing and Land,NA
Grant to Groundswell,GBP,44380,2017-04-03,Groundswell,Greater London Authority,Housing and Land,NA
Grant to Spear,GBP,37000,2017-04-03,Spear,Greater London Authority,Housing and Land,NA
Grant to St Mungo's,GBP,9000,2017-04-03,St Mungo's,Greater London Authority,Housing and Land,NA
Grant to Film London Ltd,GBP,6200000,2017-04-24,Film London,Greater London Authority,Communities and Intelligence,NA
Grant to Challenge Partners,GBP,148000,2017-05-10,Challenge Partners,Greater London Authority,Communities and Intelligence,NA
Grant to British Taekwondo,GBP,24860,2017-06-01,British Taekwondo,Greater London Authority,Communities and Intelligence,NA
Grant to Mayor's Fund for London,GBP,30000,2017-06-08,Mayor's Fund for London,Greater London Authority,Communities and Intelligence,NA
Grant to Studio Wayne Gregory,GBP,100000,2017-06-12,Studio Wayne Gregory,Greater London Authority,Communities and Intelligence,NA
Grant to London Borough of Sutton,GBP,80000,2017-06-27,London Borough of Sutton,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to United St Saviours Charity,GBP,10000,2017-07-05,United St Saviours Charity,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Moat Homes Ltd,GBP,70000,2017-07-05,Moat Homes Ltd,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Barnet,GBP,2852764,2017-07-28,LB Barnet,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to The Sustainable Home Survey Company C.I.C,GBP,149561,2017-08-21,The Sustainable Home Survey Company C.I.C,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Sustainable Venture Development Partners Ltd,GBP,220768,2017-08-30,Sustainable Venture Development Partners Ltd,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Sustainable Bridges CIC,GBP,248296,2017-08-31,Sustainable Bridges CIC,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Agile Impressions Ltd,GBP,164649,2017-08-31,Agile Impressions Ltd,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Camden Town Unlimited,GBP,2500,2017-09-04,Camden Town Unlimited,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Mayor's Fund for London,GBP,20000,2017-09-07,Mayor's Fund for London,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to The Community Brain,GBP,5000,2017-09-12,The Community Brain,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Sustain:  the alliance forr better food and farming,GBP,5500,2017-09-12,Sustain - The Alliance for better food and farming,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Genesis Housing Association,GBP,260000,2017-09-12,Genesis Housing Association,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Kollektive,GBP,12500,2017-09-14,Kollektive,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Hoxton Hall,GBP,13500,2017-09-14,Hoxton Hall,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Free the Children UK,GBP,90000,2017-09-18,Free the Children UK,Greater London Authority,Communities and Intelligence,NA
Grant to A New Direction London Limited,GBP,149841.68,2017-09-22,A New Direction London Limited,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Brixton Pound CIC,GBP,4000,2017-09-26,Brixton Pound CIC,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to RIO Cinema,GBP,40000,2017-09-28,RIO Cinema,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Chipping Barnet Town Team,GBP,30000,2017-10-03,Chipping Barnet Town Team,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Somers Town Community Association,GBP,15000,2017-10-09,Somers Town Community Association,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Supersets,GBP,25000,2017-10-16,Supersets,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to London Mozart Players,GBP,1000,2017-10-16,London Mozart Players,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Living Under One Sun,GBP,25000,2017-10-19,Living Under One Sun,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to The Camden Soceity,GBP,10000,2017-10-20,The Camden Soceity,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Friends of Cricklewood Library,GBP,40000,2017-10-20,Friends of Cricklewood Library,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Horsenden Allotments Association,GBP,10000,2017-10-31,Horsenden Allotments Association,Greater London Authority,"Development, Enterprise & Environment",NA
"Grant to Imperial College of science, Technology and medicine",GBP,149038,2017-11-01,"Imperial College of science, Technology and medicine",Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Greater London Volunteering,GBP,67000,2013-11-01,Greater London Volunteering,Greater London Authority,Communities and Intelligence,NA
Grant to LB Harrow,GBP,300000,2018-07-30,LB Harrow,Greater London Authority,"Development, Enterprise & Environment",National Park City Programme - 2018 to 2021
Grant to United St Saviours Charity,GBP,175000,2017-11-21,United St Saviours Charity,Greater London Authority,"Development, Enterprise & Environment",Business Continuity Fund Programme
Grant to Jewish Leadership Council,GBP,25000,2017-11-23,Jewish Leadership Council,Greater London Authority,Resources,Events for London Programme 2017/18
Grant to Laureus Sport for Good Foundation,GBP,500000,2018-06-07,Laureus Sport for Good Foundation,Greater London Authority,Communities and Intelligence,Community Sport Investment Programme
Grant to New City College,GBP,250000,2018-06-11,New City College,Greater London Authority,"Development, Enterprise & Environment",Digital Talent programme
Grant to Challenge Partners,GBP,148000,2018-05-07,Challenge Partners,Greater London Authority,Communities and Intelligence,Getting Ahead London – continuation programme
Grant to LB Islington Council,GBP,185000,2018-06-04,LB Islington,Greater London Authority,"Development, Enterprise & Environment",Mayor’s Business Air Quality Fund
Grant to Poplar HARCA,GBP,1993792,2018-04-27,Poplar HARCA,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to Old Oak Park Royal Development Corporation,GBP,750004,2018-04-16,Old Oak Park Royal Development Corporation,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to LB Haringey,GBP,430000,2018-04-16,LB Haringey,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to 198 Contemporary Arts and Learning,GBP,475000,2018-04-01,198 Contemporary Arts and Learning,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to Urban Development Ltd,GBP,1000000,2018-05-11,Urban Development Ltd,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to Covent Garden Marketing Authority,GBP,2957505,2018-04-01,Covent Garden Marketing Authority,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to LB Hammersmith and Fulham,GBP,1100000,2018-04-16,LB Hammersmith and Fulham,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to LB Waltham Forest,GBP,410300,2018-05-30,LB Waltham Forest,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to Newham College of Further Education,GBP,250000,2018-07-20,Newham College of Further Education,Greater London Authority,"Development, Enterprise & Environment",Digital Talent programme
Grant to Freeformers Holdings Ltd,GBP,500000,2018-02-20,Freeformers Holdings Ltd,Greater London Authority,"Development, Enterprise & Environment",Digital Talent programme
Grant to New City College,GBP,600000,2018-02-22,New City College,Greater London Authority,"Development, Enterprise & Environment",Digital Talent programme
Grant to Newham College of Further Education,GBP,500000,2018-02-20,Newham College of Further Education,Greater London Authority,"Development, Enterprise & Environment",Digital Talent programme
Grant to The Tech Partnership,GBP,124750,2018-10-27,The Tech Partnership,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Volunteer it Yourself CIC,GBP,200000,2018-06-01,Volunteer it Yourself CIC,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to LB Southwark,GBP,267300,2018-04-01,LB Southwark,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to LB Greenwich,GBP,2510000,2018-04-16,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to LB Harrow,GBP,485000,2018-04-01,LB Harrow,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to Somerset House Trust,GBP,501000,2018-03-29,Somerset House Trust,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to LB Kingston upon Thames,GBP,385239,2018-04-01,LB Kingston upon Thames,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to Mountview Academy of Theatre Arts Limited,GBP,848543,2018-04-01,Mountview Academy of Theatre Arts Limited,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to LB Lambeth,GBP,90000,2018-03-06,LB Lambeth,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to LB Islington,GBP,1030000,2018-04-02,LB Islington,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Grant to LB Barking and Dagenham,GBP,400000,2018-07-30,LB Barking and Dagenham,Greater London Authority,"Development, Enterprise & Environment",National Park City Programme - 2018 to 2021
Grant to LB Barking and Dagenham,GBP,1064151,2015-07-28,LB Barking and Dagenham,Greater London Authority,"Development, Enterprise & Environment",LEP New Homes Bonus Programme
Grant to LB Bexley,GBP,429044,2016-03-15,LB Bexley,Greater London Authority,"Development, Enterprise & Environment",LEP New Homes Bonus Programme
Grant to LB Bexley,GBP,449111,2016-03-15,LB Bexley,Greater London Authority,"Development, Enterprise & Environment",LEP New Homes Bonus Programme
Grant to LB Ealing,GBP,2493030,2016-02-23,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",LEP New Homes Bonus Programme
Grant to Peabody Community Foundation,GBP,833984,2017-08-04,Peabody Community Foundation,Greater London Authority,"Development, Enterprise & Environment",2work GLA European Social Fund programme (Team London)
Grant to Barnet and Southgate College,GBP,5931021,2015-11-24,Barnet and Southgate College,Greater London Authority,"Development, Enterprise & Environment",Further Education Capital Investment Fund Round 1
Getting Back on Track (YIF),GBP,49958,2017-08-04,Dame Kelly Holmes Trust,Greater London Authority,Communities and Intelligence,Youth Innovation Fund
Care Leavers into Work (YIF),GBP,299643,2017-09-18,Drive Forward Foundation,Greater London Authority,Communities and Intelligence,Youth Innovation Fund
2Work,GBP,833984,2017-11-10,Peabody Community Trust,Greater London Authority,Communities and Intelligence,Youth Innovation Fund
Forces for London,GBP,352000,2017-12-11,RFEA,Greater London Authority,Communities and Intelligence,Volunteering as a Route to Work Programmes
Grant to Battersea Arts Centre,GBP,350000,2018-08-06,Battersea Arts Centre,Greater London Authority,Communities and Intelligence,London Borough of Culture
Grant to Big Creative Training Ltd,GBP,1800000,2015-11-24,Big Creative Training Ltd,Greater London Authority,"Development, Enterprise & Environment",Further Education Capital Investment Fund Round 1
Grant to Morley College,GBP,1111000,2015-11-24,Morley College,Greater London Authority,"Development, Enterprise & Environment",Skills for Londoners Capital Fund
Grant to Uxbridge College,GBP,196000,2015-11-16,Uxbridge College,Greater London Authority,"Development, Enterprise & Environment",Further Education Capital Investment Fund Round 1
Grant to Westminster Kingsway College,GBP,700000,2015-10-27,Westminster Kingsway College,Greater London Authority,"Development, Enterprise & Environment",Further Education Capital Investment Fund Round 2
Grant to East London Advanced Technology Training,GBP,147962,2015-11-18,East London Advanced Technology Training,Greater London Authority,"Development, Enterprise & Environment",Further Education Capital Investment Fund Round 3
Grant to Hackney Community College,GBP,982980,2015-11-19,Hackney Community College,Greater London Authority,"Development, Enterprise & Environment",Further Education Capital Investment Fund Round 4
Grant to Havering College,GBP,5446191,2017-11-08,Havering College,Greater London Authority,"Development, Enterprise & Environment",Further Education Capital Investment Fund Round 5
Albany Park River Restoration,GBP,346000,2018-08-15,LB Enfield,Greater London Authority,"Development, Enterprise & Environment",National Park City Programme - 2018 to 2021
Greenford to Gurnell Greenway,GBP,325000,2018-08-15,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",National Park City Programme - 2018 to 2021
Southbank Undercroft Transformation Project,GBP,700000,2018-08-30,Southbank Centre,Greater London Authority,"Development, Enterprise & Environment",Good Growth Fund
Delivery of the Royal Docks Public Art Work Programme,GBP,120000,2018-09-10,Up Projects,Greater London Authority,Housing and Land,Royal Docks Activation and Events Programme
Grant to London Design Festival,GBP,750000,2018-09-10,London Design Festival,Greater London Authority,Communities and Intelligence,Creative Industries
London Games Festival,GBP,1200000,2018-09-06,Film London,Greater London Authority,Communities and Intelligence,Games London Inward Investment Programme
London QCC Project,GBP,153421,2018-09-17,The Woodland Trust,Greater London Authority,"Development, Enterprise & Environment",National Park City Programme - 2018 to 2021
Kitchen social holiday hunger programme,GBP,20000,2018-09-06,Mayor's Fund for London,Greater London Authority,"Development, Enterprise & Environment",GLA Food Programme 2018-19
Grant to Sustain:  the alliance for better food and farming,GBP,15000,2018-07-30,Sustain - The Alliance for better food and farming,Greater London Authority,"Development, Enterprise & Environment",GLA Food Programme 2018-19
Grant to The Conservation Volunteers,GBP,79500,2018-09-28,The Conservation Volunteers,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund
Contactless Giving Ecosystem,GBP,23500,2018-07-01,TAP Local CIC,Greater London Authority,Housing and Land,Rough Sleeping Innovation Fund
London's winter night shelter capacity,GBP,450000,2018-09-01,Housing Justice,Greater London Authority,Housing and Land,Rough Sleeper Services
More than Shelters,GBP,33263,2018-06-25,Housing Justice,Greater London Authority,Housing and Land,Rough Sleeping Innovation Fund
The Next Generation campaign,GBP,200000,2018-10-11,LB Lambeth,Greater London Authority,Communities and Intelligence,London Borough of Culture
Rich music heritage,GBP,90000,2018-08-15,LB Kingston upon Thames,Greater London Authority,Communities and Intelligence,London Borough of Culture
Grant to London Sport Ltd,GBP,905000,2018-10-18,London Sport Ltd,Greater London Authority,Communities and Intelligence,Major Sports Events Community Engagement Fund
Innovate UK - Future Cities Demonstrator,GBP,267641,2018-10-19,LB Islington,Greater London Authority,"Development, Enterprise & Environment",Smart London Demonstrator Programme
Museum of London dementia project,GBP,100000,2018-09-19,Museum of London,Greater London Authority,Communities and Intelligence,Museum of London dementia project
Good Food and Food Bank reports,GBP,5000,2018-09-24,Sustain,Greater London Authority,"Development, Enterprise & Environment",GLA Food Programme 2018-19
Reduce Council Tax Arrears in LB Newham,GBP,142000,2018-10-03,LB Newham,Greater London Authority,Resources,Reduce the Level of Council Tax Arrears in the London Borough of Newham
Young Londoners Fund,GBP,90000,2018-10-01,Lewisham Youth Theatre,Greater London Authority,Communities and Intelligence,Young Londoners Fund
Camden Alive,GBP,225000,2018-11-01,LB Camden,Greater London Authority,Communities and Intelligence,London Borough of Culture
Lake within Beckenham Place Park,GBP,440000,2018-11-01,LB Lewisham,Greater London Authority,"Development, Enterprise & Environment",National Park City Programme - 2018 to 2021
Young Londoners Fund,GBP,72000,2018-10-01,Free to Be Kids,Greater London Authority,Communities and Intelligence,Young Londoners Fund
Young Londoners Fund,GBP,88917,2018-10-01,St Paul's Cathdral,Greater London Authority,Communities and Intelligence,Young Londoners Fund
Young Londoners Fund,GBP,79753,2018-10-01,Knights Youth Centre,Greater London Authority,Communities and Intelligence,Young Londoners Fund
Negotiated Stopping Research,GBP,30000,2018-11-02,London Gypsies and Travellers,Greater London Authority,Housing and Land,Negotiated Stopping Research
Creative Land trust,GBP,150000,2018-10-26,Creative Land Trust Ltd,Greater London Authority,Communities and Intelligence,Mayor's Strategic Investment Fund
Maximisation of Business Rates Income in LB Islington,GBP,120000,2018-11-09,LB Islington,Greater London Authority,Resources,Maximisation of Business Rates Income in LB Islington
Reducing council tax arrears in the LB Islington,GBP,90000,2018-11-09,LB Islington,Greater London Authority,Resources,Reduce the Level of Council Tax Arrears in the London Borough of Islington
Silkstream Park,GBP,324000,2018-11-26,LB Barnet,Greater London Authority,"Development, Enterprise & Environment",National Park City Programme - 2018 to 2021
Grant to LB Harrow,GBP,40194,2017-10-01,LB Harrow,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Primrose Hill Community Library,GBP,5180,2017-10-01,Primrose Hill Community Library,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Lewisham,GBP,9997.08,2017-10-01,LB Lewisham,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Aylestone Park Tenants and Residents Association,GBP,6750,2017-10-01,Aylestone Park Tenants and Residents Association,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Hackney,GBP,47194.2,2017-10-01,LB Hackney,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,10190,2017-10-01,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Friends of Mountsfield Park,GBP,5110,2017-10-01,Friends of Mountsfield Park,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Enfield,GBP,20000,2017-10-01,LB Enfield,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Friends of Stamford Hill,GBP,5157,2017-10-01,Friends of Stamford Hill,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,15000,2017-10-01,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,15000,2017-10-01,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Waltham Forest,GBP,5303,2017-10-01,LB Waltham Forest,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Hanger Hill Garden Estate Residents Association,GBP,5000,2017-10-01,Hanger Hill Garden Estate Residents Association,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Friends of Avery Hill,GBP,5000,2017-10-01,Friends of Avery Hill Park,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,15000,2017-10-01,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Greenwich,GBP,10277,2017-10-01,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Greenwich,GBP,6000,2017-10-01,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Southall Transition Town Initiative,GBP,4443.14,2017-10-01,Southall Transition Town Initiative,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Barnet,GBP,23400,2017-10-01,LB Barnet,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,25000,2017-10-01,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to PADI,GBP,11475,2017-10-01,PADI,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to People for Portland Road,GBP,5257.08,2017-10-01,People for Portland Road,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Faiths Forum for London,GBP,19940,2017-10-01,Faiths Forum for London,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Haringey,GBP,18887,2017-10-01,LB Haringey,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Greenwich,GBP,5000,2017-10-01,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Thames Chase Trust,GBP,10000,2017-10-01,Thames Chase Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to D'Eynsford TMO,GBP,4260.81,2017-10-01,D'Eynsford TMO,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Friends of Avery Hill Park,GBP,5000,2018-08-16,Friends of Avery Hill Park,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Southall Transition Town Initiative,GBP,7200,2018-08-16,Southall Transition Town Initiative,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to London Wildlife Trust,GBP,5000,2018-08-16,London Wildlife Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Tower Hamlets,GBP,5023.85,2018-08-16,LB Tower Hamlets,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Friends of Albert Road Recreation Ground,GBP,5680,2018-08-16,Friends of Albert Road Recreation Ground,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Greenwich,GBP,6000,2018-08-16,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Ealing,GBP,6002.5,2018-08-16,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Barking and Dagenham,GBP,6084,2018-08-16,LB Barking and Dagenham,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Loughborough Estate Management Board,GBP,9872,2018-08-16,Loughborough Estate Management Board,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Hillingdon,GBP,7478.79,2018-08-16,LB Hillingdon,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Croydon,GBP,10000,2018-08-16,LB Croydon,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to PADI,GBP,10900,2018-08-16,PADI,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Redbridge,GBP,11141,2018-08-16,LB Redbridge,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Friends of Higham Hill Park,GBP,10301,2018-08-16,Friends of Higham Hill Park,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Lambeth,GBP,13469,2018-08-16,LB Lambeth,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to City of London Corporation,GBP,14930,2018-08-16,City of London Corporation,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Ealing,GBP,16555,2018-08-16,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Ealing,GBP,17640,2018-08-16,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,13125,2018-08-16,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Ingrebourne Valley Ltd,GBP,20000,2018-08-16,Ingrebourne Valley Ltd,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Sunshine of Hounslow,GBP,15000,2018-08-16,Sunshine of Hounslow,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,17000,2018-08-16,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Hackney,GBP,23418,2018-08-16,LB Hackney,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,22295,2018-08-16,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Ealing,GBP,24010,2018-08-16,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Faiths Forum for London,GBP,43500,2018-08-16,Faiths Forum for London,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,43904,2018-08-16,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Trees for Cities,GBP,40500,2018-08-16,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to LB Sutton,GBP,16885,2018-08-16,LB Sutton,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Tree Planting Grants
Grant to Ambler Primary School,GBP,12121.5,2018-01-18,Ambler Primary School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Ark Atwood Primary Academy,GBP,9000,2018-01-18,Ark Atwood Primary Academy,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to LB Brent,GBP,20000,2018-01-18,LB Brent,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Castlehaven Community Association,GBP,14550,2018-01-18,Castlehaven Community Association,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Clapham Common Management Advisory Committee,GBP,10197,2018-01-18,Clapham Common Management Advisory Committee,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Corpus Christi Catholic Primary School,GBP,20000,2018-01-18,Corpus Christi Catholic Primary School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Crystal Palace Transition Town,GBP,7030,2018-01-18,Crystal Palace Transition Town,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to De Beauvoir Estate Tenants Residents Association,GBP,15750,2018-01-18,De Beauvoir Estate Tenants Residents Association,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Edgware Parochial Church Council,GBP,19988,2018-01-18,Edgware Parochial Church Council,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
